entry_id,title,semantic_focus
A-1,まえがき,preface / reader enters book
A-2,この本の読み方,how to read the book / reading path
A-3,図鑑の歩き方,navigation through encyclopedia entries
A-4,体験区分の凡例,experience category legend
A-5,読者レベルの凡例,reader level legend
A-6,評価日・時変情報の見方,evaluation date and time-sensitive information
A-7,図のタイプ,figure type legend
A-8,色・記号の凡例,color and symbol legend
A-9,索引,index / lookup grid with magnifier and page references
A-10,更新履歴と更新方針,update history and policy
A-11,略称表記,abbreviation short-to-long mapping table
