entry_id,title,semantic_focus
C-50,Sam Altman,OpenAI/company leadership context
C-51,Dario Amodei,Anthropic/Claude safety lab leadership context
C-52,Demis Hassabis,DeepMind/science/research leadership context
C-53,Andrej Karpathy,AI education/autonomous driving/deep learning educator context
C-54,Ilya Sutskever,OpenAI/superalignment/research scientist context
C-55,Mira Murati,OpenAI product/research executive context
C-56,Yann LeCun,Meta/Facebook AI and deep learning research context
C-57,Geoffrey Hinton,deep learning pioneer / neural network history context
C-58,Elon Musk,xAI/Tesla/X company ecosystem context
C-59,Jensen Huang,NVIDIA/GPU hardware CEO context
C-60,Ray Kurzweil,futurist/singularity/Google AI context
