"visible_rank","decision","priority","entry_id","title","file_size_kb","score","current_action","reasons","regen_type","target_brief","human_note"
"1","regen_user_ng_visible","P0","J-93","Ubuntu","13.2","87","composition_regen_review","known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"2","regen_user_ng_visible","P1","I-21","Puppeteer MCP","13.4","89","light_review","線密度","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"3","regen_user_ng_visible","P1","J-4","ASI","15.1","94","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"4","regen_user_ng_visible","P1","J-80","SATA","15.8","87","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"5","regen_user_ng_visible","P1","J-19","量子化","16.0","86","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"6","regen_user_ng_visible","P0","J-91","CLI","16.1","95","composition_regen_review","known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"7","regen_user_ng_visible","P0","J-81","M.2","16.4","91","composition_regen_review","known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"8","regen_user_ng_visible","P1","J-22","パラメータ数の単位","16.7","90","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"9","regen_user_ng_visible","P1","I-22","Chrome DevTools MCP","16.8","95","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"10","regen_user_ng_visible","P1","J-52","Sycophancy","17.4","90","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"11","regen_user_ng_visible","P1","J-73","Blackwell","17.4","90","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"12","regen_user_ng_visible","P0","J-92","Linux","17.4","95","composition_regen_review","known_padding_2to1","composition_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"13","regen_user_ng_visible","P1","J-70","VRAM","17.6","96","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"14","regen_user_ng_visible","P1","J-62","チューリングテスト","18.3","91","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"15","regen_user_ng_visible","P1","J-21","LoRA","18.4","87","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"16","regen_user_ng_visible","P1","J-50","AI 倫理","18.4","84","visual_review","濃淡","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
"17","regen_user_ng_visible","P1","J-56","GDPR","18.4","93","light_review","","lightweight_quality_regen","2:1で意味が広がる構図に作り直す。軽い箱線だけ、ロゴ依存、薄い図解を避ける",""
