entry_id,title,subtype,image_path,expected_signal,exists
F-1,JavaScript,language,assets\ponchi\final\F-1.png,browser/runtime scripting; dynamic web behavior,True
F-2,TypeScript,language,assets\ponchi\final\F-2.png,typed JavaScript; type checking pipeline,True
F-3,Python,language,assets\ponchi\final\F-3.png,AI/data scripting workflow,True
F-4,HTML,language,assets\ponchi\final\F-4.png,document structure / markup,True
F-5,CSS,language,assets\ponchi\final\F-5.png,layout and visual styling,True
F-6,Markdown,language,assets\ponchi\final\F-6.png,plain text to formatted document,True
F-7,YAML,language,assets\ponchi\final\F-7.png,indentation config / structured settings,True
F-8,JSON,language,assets\ponchi\final\F-8.png,key-value data interchange,True
F-9,SVG,language,assets\ponchi\final\F-9.png,vector drawing / shapes,True
F-10,React,framework,assets\ponchi\final\F-10.png,component UI with official logo,True
F-11,Next.js,framework,assets\ponchi\final\F-11.png,React full-stack routing/build with official logo,True
F-12,Electron,framework,assets\ponchi\final\F-12.png,desktop app wrapper with official logo,True
F-13,Tauri,framework,assets\ponchi\final\F-13.png,light desktop app wrapper with official logo,True
F-14,three.js,framework,assets\ponchi\final\F-14.png,3D scene/canvas with official logo,True
F-15,shadcn/ui,framework,assets\ponchi\final\F-15.png,copyable UI components with official icon,True
F-16,Tailwind CSS,framework,assets\ponchi\final\F-16.png,utility classes / design tokens with official logo,True
F-17,Astro,framework,assets\ponchi\final\F-17.png,static/content site build with official logo,True
