file,entry_id,size,size_ok,bbox_coverage,density_ok,clearspace_required,clearspace_ink_ratio,clearspace_ok,status
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-30_overlay_1254x627.png,B-30,1254x627,true,0.733,true,true,0.1889,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-31_overlay_1254x627.png,B-31,1254x627,true,0.851,true,true,0.0702,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-32_overlay_1254x627.png,B-32,1254x627,true,0.873,true,true,0.0794,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-33_overlay_1254x627.png,B-33,1254x627,true,0.882,true,true,0.0425,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-40_overlay_1254x627.png,B-40,1254x627,true,0.772,true,true,0.1664,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-41_overlay_1254x627.png,B-41,1254x627,true,0.859,true,true,0.3827,false,review
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-50_overlay_1254x627.png,B-50,1254x627,true,0.943,true,true,0.0977,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-51_overlay_1254x627.png,B-51,1254x627,true,0.962,true,true,0.0969,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-52_overlay_1254x627.png,B-52,1254x627,true,0.785,true,true,0.0975,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-60_overlay_1254x627.png,B-60,1254x627,true,0.901,true,true,0.2835,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\B-61_overlay_1254x627.png,B-61,1254x627,true,0.785,true,true,0.1822,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-1_overlay_1254x627.png,C-1,1254x627,true,0.868,true,true,0.1688,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-2_overlay_1254x627.png,C-2,1254x627,true,0.870,true,true,0.0946,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-3_overlay_1254x627.png,C-3,1254x627,true,0.868,true,true,0.1603,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-4_overlay_1254x627.png,C-4,1254x627,true,0.849,true,true,0.0726,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-5_overlay_1254x627.png,C-5,1254x627,true,0.849,true,true,0.0646,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-6_overlay_1254x627.png,C-6,1254x627,true,0.850,true,true,0.1242,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-7_overlay_1254x627.png,C-7,1254x627,true,0.815,true,true,0.1299,true,pass
D:\dev\VibeCodingDictionary\assets\ponchi\experiments\batches\ponchi-batch-003\C-9_overlay_1254x627.png,C-9,1254x627,true,0.775,true,true,0.0823,true,pass
