entry_id,title,category,subtype,path,score,band,flags,review_reasons,recommended_action,logo_need,logo_status,official_asset,official_asset_context,known_padding_2to1,central_padding_shape,sparse_diagram,color_status,off_palette_ratio,file_size_kb,part_color,part_luma,part_saturation,part_contrast,part_edge,part_ink,part_aspect,luma,saturation,contrast,edge_density,ink_ratio,bbox_coverage,bbox_width_ratio,bbox_height_ratio,margin_balance
J-10_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-10_base_1254x627.png,97,high,,,light_review,,,,no,no,no,no,pass,0.006717,606.3,98,97,99,92,99,96,100,246.518,0.01215,12.382,0.09744,0.19813,0.40039,0.93750,0.42708,0.97917
J-11_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-11_base_1254x627.png,91,high,,,light_review,,,,no,no,no,no,pass,0.000000,108.7,96,95,96,81,85,89,100,242.792,0.02225,17.695,0.11220,0.26714,0.41927,0.95833,0.43750,1.00000
J-12_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-12_base_1254x627.png,94,high,,,light_review,,,,no,no,no,no,pass,0.000000,89.4,97,96,98,92,82,95,100,247.032,0.01798,12.253,0.11534,0.19412,0.43446,0.94792,0.45833,0.98958
J-13_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-13_base_1254x627.png,95,high,,,light_review,,,,no,no,no,no,pass,0.006533,621.4,99,99,100,96,84,93,100,244.662,0.01383,14.672,0.08257,0.24978,0.42459,0.94792,0.44792,0.98958
J-14_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-14_base_1254x627.png,92,high,,,light_review,,,,no,no,no,no,pass,0.006979,558.4,97,96,100,92,89,82,100,243.312,0.01316,15.593,0.10883,0.29905,0.41016,0.93750,0.43750,0.97917
J-15_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-15_base_1254x627.png,94,high,,,light_review,,,,no,no,no,no,pass,0.002338,539.4,99,98,100,97,72,99,100,246.064,0.01265,13.342,0.07107,0.21105,0.39779,0.97917,0.40625,1.00000
J-1_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-1_base_1254x627.png,92,high,線密度,線密度,light_review,,,,no,no,no,no,pass,0.007246,720.2,99,99,99,97,55,99,100,244.663,0.01669,14.466,0.14095,0.22320,0.47938,0.97917,0.48958,0.97917
J-2_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-2_base_1254x627.png,96,high,,,light_review,,,,no,no,no,no,pass,0.006827,661.4,99,99,98,99,94,90,100,244.657,0.01833,13.638,0.09201,0.26356,0.45920,0.95833,0.47917,1.00000
J-3_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-3_base_1254x627.png,83,mid,線密度,線密度,visual_review,,,,no,no,no,no,pass,0.004147,663.6,93,91,98,70,56,83,100,249.548,0.00891,7.954,0.05642,0.14247,0.36936,0.95833,0.38542,1.00000
J-4_base_1254x627,,,,assets/ponchi/experiments/batches/semantic-regen-020/J-4_base_1254x627.png,98,high,,,light_review,,,,no,no,no,no,pass,0.007559,644.3,99,99,99,99,99,94,100,245.627,0.01134,14.223,0.09885,0.18978,0.44878,0.91667,0.48958,1.00000
