slot,entry_id,title,subtype,image_path,expected_signal
1,F-40,npm,cli_build,assets/ponchi/final/F-40.png,package manager registry/install workflow
2,F-41,Vite,cli_build,assets/ponchi/final/F-41.png,fast dev server/build pipeline
3,F-42,ビルド,cli_build,assets/ponchi/final/F-42.png,source to bundled artifact pipeline
4,F-44,pnpm,cli_build,assets/ponchi/final/F-44.png,workspace/package manager with content-addressed store
5,F-71,ripgrep (rg),search,assets/ponchi/final/F-71.png,fast recursive code search
6,F-80,Node.js,runtime,assets/ponchi/final/F-80.png,JavaScript server runtime with official logo
7,F-81,bash,shell,assets/ponchi/final/F-81.png,Unix shell command pipeline
8,F-82,WSL,shell,assets/ponchi/final/F-82.png,Linux-on-Windows boundary
9,F-83,PowerShell,shell,assets/ponchi/final/F-83.png,Windows automation shell with official logo
10,F-84,Ghostty,terminal,assets/ponchi/final_candidates/semantic-regen-013/F-84_candidate.png,terminal emulator panes/tabs/config with official favicon candidate
11,F-85,SuperClaude Framework,framework,assets/ponchi/final/F-85.png,Claude Code community command/pattern framework without logo
12,F-86,ollama,runtime,assets/ponchi/final/F-86.png,local LLM runtime/serve workflow with official icon
13,F-87,sudo,shell,assets/ponchi/final/F-87.png,privilege escalation / admin command gate
14,F-90,Docker,container,assets/ponchi/final/F-90.png,container image/build/run workflow with official logo
15,F-91,.env,env,assets/ponchi/final/F-91.png,environment variable secrets/config file
