blind_image_id,expected_entry_id,expected_title,top1_guess,top1_guess_raw,top1_confidence,top2_guess,top2_guess_raw,top3_guess,top3_guess_raw,top1_correct,top3_correct,semantic_decision,visual_evidence,confused_with,semantic_comment
B-SRQ001,B-24,Google Cloud,B-24,B-24,99,B-25,B-25,B-27,B-27,true,true,semantic_ok,,,Google Cloud logo and cloud infrastructure panels.
B-SRQ002,B-33,Canva,B-33,B-33,99,B-32,B-32,B-31,B-31,true,true,semantic_ok,,,Canva logo with design/layout assets.
B-SRQ003,B-8,Codex,B-8,B-8,55,B-4,B-4,B-7,B-7,true,true,weak_but_identifiable,,,Agentic coding dashboard and robot; no clear logo.
B-SRQ004,B-32,Figma,B-32,B-32,99,B-33,B-33,B-31,B-31,true,true,semantic_ok,,,Figma logo with collaborative design frames.
B-SRQ005,B-52,Gemini の料金プラン,B-52,B-52,96,B-1,B-1,B-51,B-51,true,true,semantic_ok,,,Gemini logo with tiered plan/pricing cards.
B-SRQ006,B-31,Excalidraw,B-31,B-31,98,B-32,B-32,B-33,B-33,true,true,semantic_ok,,,Excalidraw-style logo and hand-drawn whiteboard sketches.
B-SRQ007,B-27,Vertex AI,B-27,B-27,92,B-24,B-24,B-26,B-26,true,true,semantic_ok,,,Vertex AI-like multicolor mark with ML pipeline/dashboard.
B-SRQ008,B-5,GitHub Copilot,B-5,B-5,99,B-4,B-4,B-7,B-7,true,true,semantic_ok,,,GitHub Copilot logo and coding assistant workflow.
B-SRQ009,B-51,ChatGPT の料金プラン,B-51,B-51,97,B-50,B-50,B-52,B-52,true,true,semantic_ok,,,OpenAI logo with pricing comparison table.
B-SRQ010,B-50,Claude の料金プラン,B-50,B-50,99,B-51,B-51,B-52,B-52,true,true,semantic_ok,,,Claude logo with ascending pricing plan columns.
B-SRQ011,B-1,Gemini,B-1,B-1,52,B-8,B-8,B-4,B-4,true,true,weak_but_identifiable,,,"Gemini-like multimodal AI workspace, but logo absent."
B-SRQ012,B-26,Azure OpenAI,B-26,B-26,72,B-27,B-27,B-1,B-1,true,true,semantic_ok,,,Managed AI cloud/security architecture with sparkle logo cue.
B-SRQ013,B-4,Cursor,B-4,B-4,67,B-7,B-7,B-8,B-8,true,true,weak_but_identifiable,,,IDE code editor and assistant flow fits Cursor most.
B-SRQ014,B-25,Azure,B-25,B-25,99,B-24,B-24,B-26,B-26,true,true,semantic_ok,,,Azure logo with cloud hosting architecture.
B-SRQ015,B-7,Claude Code,B-7,B-7,50,B-8,B-8,B-4,B-4,true,true,weak_but_identifiable,,,Code agent workflow in IDE; ambiguous among coding assistants.
B-SRQ016,B-6,Windsurf,B-6,B-6,99,B-4,B-4,B-7,B-7,true,true,semantic_ok,,,Windsurf logo with coding workflow.
