blind_image_id,expected_entry_id,expected_title,top1_guess,top1_guess_raw,top1_confidence,top2_guess,top2_guess_raw,top3_guess,top3_guess_raw,top1_correct,top3_correct,semantic_decision,visual_evidence,confused_with,semantic_comment
D-Q001,D-40,Llama 系,D-40,D-40,95,D-42,D-42,D-1,D-1,true,true,semantic_ok,Meta infinity logo and repeated open-model style network cards make Llama the clearest read.,D-42|D-1,Strong brand evidence; semantic identity is clear.
D-Q002,D-45,GLM,D-45,D-45,82,D-43,D-43,D-41,D-41,true,true,semantic_ok,Black square Z-style logo with model-serving dashboards points to GLM/Zhipu rather than a generic open model.,D-43|D-41,Logo carries most of the identification.
D-Q003,D-2,Gemini 2.5 系,D-2,D-2,42,D-1,D-1,D-3,D-3,true,true,weak_but_identifiable,"Gemini star plus benchmark panels with scale, timer, and gauge suggest a Gemini 2.5 evaluation/upgrade theme.",D-1|D-3|D-4,Generic Gemini dashboard; exact version is weak.
D-Q004,D-71,Whisper,D-25,D-25,35,D-24,D-24,D-21,D-21,false,false,generic,OpenAI logo with a simple text-to-model transformer pipeline looks like an early GPT family diagram.,D-24|D-21,"Communicates OpenAI LLM, not the exact generation."
D-Q005,D-50,DALL-E,D-50,D-50,80,D-52,D-52,D-21,D-21,true,true,semantic_ok,"OpenAI logo with multiple image thumbnails, galleries, and generation panels points to DALL-E.",D-52|D-21,Image-generation semantics are fairly clear.
D-Q006,D-60,AlphaGo,D-60,D-60,70,D-70,D-70,D-42,D-42,true,true,semantic_ok,Search-tree and board-like game diagrams with lab/robot context suggest AlphaGo-style game AI.,D-70|D-42,"No logo, but the game-search visual is meaningful."
D-Q007,D-41,Mistral 系,D-41,D-41,94,D-43,D-43,D-40,D-40,true,true,semantic_ok,Mistral logo is prominent above model cards and pipeline diagrams.,D-43|D-40,Strong brand evidence.
D-Q008,D-46,DeepSeek V3,D-46,D-46,78,D-47,D-47,D-43,D-43,true,true,semantic_ok,DeepSeek logo with broad model/dashboard panels and no strong reasoning-question motif suggests V3.,D-47|D-43,Brand is clear; V3 versus R1 relies on weaker visual cues.
D-Q009,D-52,Sora,D-52,D-52,74,D-50,D-50,D-21,D-21,true,true,semantic_ok,OpenAI logo with storyboard-like image/video thumbnails and timeline strips suggests Sora.,D-50|D-21,"Video-generation cue is present, though partly generic."
D-Q010,D-12,Claude 4 系,D-10,D-10,48,D-11,D-11,D-12,D-12,false,true,ambiguous,"Claude logo with simpler document, matrix, and evaluation panels suggests the base Claude 3 family.",D-11|D-12,Claude is clear; version is ambiguous.
D-Q011,D-4,Gemini 3.1 系,D-3,D-3,38,D-2,D-2,D-4,D-4,false,true,ambiguous,Gemini star with chained model panels and dashboard outputs suggests a newer Gemini generation.,D-2|D-4|D-1,Very generic Gemini model diagram.
D-Q012,D-13,Claude 4.5 系,D-11,D-11,45,D-10,D-10,D-12,D-12,false,false,generic,"Claude logo with coding, benchmarks, and deployment panels fits Claude 3.5-style capability messaging.",D-10|D-12,Brand clear; exact version weak.
D-Q013,D-44,Kimi,D-44,D-44,91,D-43,D-43,D-45,D-45,true,true,semantic_ok,Black Kimi logo appears with model pipeline and assistant panels.,D-43|D-45,Strong logo-based identification.
