blind_image_id,top1_guess,top1_confidence,top2_guess,top3_guess,visual_evidence,confused_with,semantic_comment
B3V2-01,B-31,96,B-19,B-3,"Whiteboard-style boxes, arrows, sticky notes, pen, and purple crossed drawing-tools logo strongly signal a sketch/diagramming tool.",B-19,"Identifiable mainly from the Excalidraw-like logo plus hand-drawn workflow semantics."
B3V2-02,B-10,62,B-8,B-7,"Large autonomous coding workspace with task cards, code review panels, progress flow, and robot assistant moving work through screens.","B-8; B-7","Semantically ambiguous among coding agents, but the end-to-end autonomous software-engineer workflow fits Devin best."
B3V2-03,B-5,99,B-7,B-8,"Explicit GitHub Copilot wordmark and GitHub logo, with code suggestions and repository workflow cards.",B-7,"Only minimally ambiguous because the logo names the product."
B3V2-04,B-12,99,B-14,B-3,"Explicit Perplexity wordmark, search/query boxes, cited-source style cards, and answer flow from question to results.",B-14,"Logo-driven identification; without it, could resemble Genspark-style research aggregation."
B3V2-05,B-3,82,B-8,B-1,"Large OpenAI wordmark, chat assistant interface, code/data/tool cards, and general assistant workflow.",B-8,"OpenAI logo makes it clear, but semantic content overlaps with Codex because code panels are present."
B3V2-06,B-2,98,B-19,B-27,"Explicit Claude wordmark and orange Claude mark, document-heavy reasoning and analysis layout.",B-19,"Logo-driven Claude identification; document collaboration could otherwise resemble Claude Cowork."
B3V2-07,B-4,83,B-8,B-7,"IDE-centered coding surface with dark editor, file/search panels, terminal/database/package icons, and Cursor-like black clustered logo.","B-8; B-7","Mostly logo-driven; semantically overlaps with other AI coding environments."
B3V2-08,B-14,88,B-12,B-3,"Sparkle-in-black-circle logo, multi-source research collection, generated dashboards, reports, charts, and synthesis panels.",B-12,"Research-answer workflow is close to Perplexity, but the sparkle logo and broader generated workspace fit Genspark."
B3V2-09,B-19,65,B-2,B-3,"Central assistant mediates between user messages, documents, task cards, and a team collaboration scene.",B-2,"No strong logo; best read as collaborative Claude coworking rather than base Claude."
B3V2-10,B-1,96,B-52,B-3,"Multicolor Gemini sparkle logo with assistant hub connected to Docs, Sheets, chat, mobile, and code surfaces.",B-52,"Gemini logo is decisive; lack of pricing tiers separates it from the Gemini pricing-plan entry."
B3V2-11,B-7,70,B-8,B-10,"Coding workflow with planner, terminal/code panel, document changes, verification shield, and robot coding assistant beside the IDE.","B-8; B-10","Ambiguous coding-agent image; stronger fit for Claude Code because of terminal-centric code assistance rather than broad autonomous project execution."
B3V2-12,B-52,94,B-1,B-27,"Gemini sparkle logo plus three pricing/plan columns, gauges, tags, feature checklists, and user/group bubbles.",B-1,"Clearly the Gemini pricing-plan concept rather than general Gemini."
B3V2-13,B-27,93,B-1,B-14,"Google/Vertex-style multicolor mark, model/data pipeline, vector nodes, cube, metrics, and cloud AI platform dashboard.",B-1,"Identifiable by Google cloud AI platform visuals and logo; semantically could touch Gemini because both are Google AI."
B3V2-14,B-8,72,B-10,B-7,"Dense agentic coding workspace with code editor, project cards, tests, shields, docs, robot assistant, and delivery/status dashboards.","B-10; B-7","No obvious product logo, so this is semantic; broad code-agent orchestration fits Codex slightly better than Devin or Claude Code."
