entry_id,title,batch_id,candidate_webp,final_webp,old_final_webp_bytes,new_final_webp_bytes,status
J-72,H100,semantic-regen-015,assets/ponchi/final_candidates/semantic-regen-015/J-72_candidate.webp,assets/ponchi/final/J-72.webp,127442,766340,promoted
J-73,Blackwell,semantic-regen-015,assets/ponchi/final_candidates/semantic-regen-015/J-73_candidate.webp,assets/ponchi/final/J-73.webp,129422,715386,promoted
J-78,HDD,semantic-regen-015,assets/ponchi/final_candidates/semantic-regen-015/J-78_candidate.webp,assets/ponchi/final/J-78.webp,106412,48888,promoted
J-79,SSD,semantic-regen-015,assets/ponchi/final_candidates/semantic-regen-015/J-79_candidate.webp,assets/ponchi/final/J-79.webp,107630,70928,promoted
J-91,CLI,semantic-regen-015,assets/ponchi/final_candidates/semantic-regen-015/J-91_candidate.webp,assets/ponchi/final/J-91.webp,70170,383102,promoted
J-70,VRAM,semantic-regen-016,assets/ponchi/final_candidates/semantic-regen-016/J-70_candidate.webp,assets/ponchi/final/J-70.webp,100082,498378,promoted
J-71,RAM,semantic-regen-016,assets/ponchi/final_candidates/semantic-regen-016/J-71_candidate.webp,assets/ponchi/final/J-71.webp,100796,537258,promoted
J-74,RTX シリーズ,semantic-regen-016,assets/ponchi/final_candidates/semantic-regen-016/J-74_candidate.webp,assets/ponchi/final/J-74.webp,112392,655262,promoted
J-75,Tensor コア,semantic-regen-016,assets/ponchi/final_candidates/semantic-regen-016/J-75_candidate.webp,assets/ponchi/final/J-75.webp,124516,553446,promoted
J-76,CPU,semantic-regen-016,assets/ponchi/final_candidates/semantic-regen-016/J-76_candidate.webp,assets/ponchi/final/J-76.webp,92682,41432,promoted
J-77,GPU (概念),semantic-regen-016,assets/ponchi/final_candidates/semantic-regen-016/J-77_candidate.webp,assets/ponchi/final/J-77.webp,101760,460706,promoted
J-80,SATA,semantic-regen-016,assets/ponchi/final_candidates/semantic-regen-016/J-80_candidate.webp,assets/ponchi/final/J-80.webp,77940,36750,promoted
J-81,M.2,semantic-regen-016,assets/ponchi/final_candidates/semantic-regen-016/J-81_candidate.webp,assets/ponchi/final/J-81.webp,52978,52766,promoted
I-1,MCP,semantic-regen-017,assets/ponchi/final_candidates/semantic-regen-017/I-1_candidate.webp,assets/ponchi/final/I-1.webp,102940,496488,promoted
I-2,MCP Server,semantic-regen-017,assets/ponchi/final_candidates/semantic-regen-017/I-2_candidate.webp,assets/ponchi/final/I-2.webp,77512,421404,promoted
I-3,MCP Client,semantic-regen-017,assets/ponchi/final_candidates/semantic-regen-017/I-3_candidate.webp,assets/ponchi/final/I-3.webp,84610,450304,promoted
I-4,MCP Transport,semantic-regen-017,assets/ponchi/final_candidates/semantic-regen-017/I-4_candidate.webp,assets/ponchi/final/I-4.webp,64086,435252,promoted
I-5,MCP SDK,semantic-regen-017,assets/ponchi/final_candidates/semantic-regen-017/I-5_candidate.webp,assets/ponchi/final/I-5.webp,78118,40984,promoted
I-80,自作 MCP のテンプレ,semantic-regen-017,assets/ponchi/final_candidates/semantic-regen-017/I-80_candidate.webp,assets/ponchi/final/I-80.webp,96284,475134,promoted
I-81,MCP の登録・設定,semantic-regen-017,assets/ponchi/final_candidates/semantic-regen-017/I-81_candidate.webp,assets/ponchi/final/I-81.webp,97026,413778,promoted
I-10,Filesystem MCP,semantic-regen-018,assets/ponchi/final_candidates/semantic-regen-018/I-10_candidate.webp,assets/ponchi/final/I-10.webp,92064,449326,promoted
I-11,GitHub MCP,semantic-regen-018,assets/ponchi/final_candidates/semantic-regen-018/I-11_candidate.webp,assets/ponchi/final/I-11.webp,98728,34666,promoted
I-12,Git MCP,semantic-regen-018,assets/ponchi/final_candidates/semantic-regen-018/I-12_candidate.webp,assets/ponchi/final/I-12.webp,89340,466194,promoted
I-13,Slack MCP,semantic-regen-018,assets/ponchi/final_candidates/semantic-regen-018/I-13_candidate.webp,assets/ponchi/final/I-13.webp,92490,472692,promoted
I-23,Serena MCP,semantic-regen-018,assets/ponchi/final_candidates/semantic-regen-018/I-23_candidate.webp,assets/ponchi/final/I-23.webp,94566,490368,promoted
I-24,Context7 MCP,semantic-regen-018,assets/ponchi/final_candidates/semantic-regen-018/I-24_candidate.webp,assets/ponchi/final/I-24.webp,88186,457966,promoted
