entry_id,title,subtype,image_path,expected_signal,exists
F-140,Mermaid,diagram,assets/ponchi/final/F-140.png,text-to-diagram flowchart syntax with official logo,True
F-141,PlantUML,diagram,assets/ponchi/final/F-141.png,UML diagram generation with official logo,True
F-150,MIT ライセンス,license,assets/ponchi/final/F-150.png,permissive license grant,True
F-151,Apache 2.0,license,assets/ponchi/final/F-151.png,license with patent/notice obligations,True
F-152,GPL,license,assets/ponchi/final/F-152.png,copyleft reciprocity,True
F-153,Creative Commons,license,assets/ponchi/final/F-153.png,content license with CC mark,True
F-154,OSS,license,assets/ponchi/final/F-154.png,open-source project/community concept,True
F-160,DOM,web_foundation,assets/ponchi/final/F-160.png,browser document object tree,True
F-161,SSR,web_foundation,assets/ponchi/final/F-161.png,server renders HTML before browser,True
F-162,SSG,web_foundation,assets/ponchi/final/F-162.png,static pages generated at build time,True
F-170,EC2,cloud_service,assets/ponchi/final/F-170.png,AWS compute instance with official icon,True
F-171,S3,cloud_service,assets/ponchi/final/F-171.png,AWS object storage buckets with official icon,True
F-172,IAM,cloud_service,assets/ponchi/final/F-172.png,AWS identity/access policy with official icon,True
F-180,OpenGL,graphics,assets/ponchi/final/F-180.png,native graphics API pipeline with official logo,True
F-181,WebGL,graphics_api,assets/ponchi/final/F-181.png,browser graphics API with official logo,True
F-190,サブルーチン,programming_basic,assets/ponchi/final/F-190.png,reusable procedure call/return,True
F-200,Rust,language,assets/ponchi/final/F-200.png,systems language with official logo,True
