blind_image_id,expected_entry_id,expected_title,top1_guess,top1_guess_raw,top1_confidence,top2_guess,top2_guess_raw,top3_guess,top3_guess_raw,top1_correct,top3_correct,semantic_decision,visual_evidence,confused_with,semantic_comment
B3-01,B-10,Devin,B-4,B-4,82,B-8,B-8,B-7,B-7,false,false,misleading,Black Cursor-like logo plus IDE/code panels and agent workflow orchestration.,B-8,Mostly identifiable by logo; semantically overlaps with coding-agent tools.
B3-02,B-4,Cursor,B-7,B-7,55,B-8,B-8,B-4,B-4,false,true,ambiguous,Large coding workspace with AI robot assisting inside development UI and file/code panels.,B-8,"No clear logo, so this is semantically ambiguous among coding assistants."
B3-03,B-1,Gemini,B-1,B-1,98,B-52,B-52,B-27,B-27,true,true,semantic_ok,Prominent Gemini multicolor sparkle logo with chat/search/app integrations around a central sparkle assistant.,B-52,Identifiable by logo.
B3-04,B-2,Claude,B-2,B-2,99,B-19,B-19,B-7,B-7,true,true,semantic_ok,Visible Claude wordmark and orange Claude logo with chat/document/code workflow panels.,B-19,Identifiable by logo.
B3-05,B-27,Vertex AI,B-27,B-27,92,B-14,B-14,B-1,B-1,true,true,semantic_ok,"Google Cloud-style multicolor Vertex mark with data tables, model graph, pipeline, charts, and ML workflow.",B-14,Logo and ML pipeline visuals strongly suggest Vertex AI.
B3-06,B-19,Claude Cowork,B-19,B-19,72,B-2,B-2,B-7,B-7,true,true,semantic_ok,People collaborating through an AI assistant workspace with meeting/team outputs and shared panels.,B-2,"Likely Claude Cowork from coworking/team semantics, but no explicit Claude logo."
B3-07,B-7,Claude Code,B-10,B-10,62,B-7,B-7,B-8,B-8,false,true,ambiguous,"Autonomous development board showing planning flow, code editor, validation checks, dashboard output, and robot agent.",B-7,Ambiguous coding-agent scene; autonomy and end-to-end task flow suggest Devin.
B3-08,B-52,Gemini の料金プラン,B-52,B-52,86,B-1,B-1,B-27,B-27,true,true,semantic_ok,"Gemini logo with tiered pricing-style columns, gauges, feature bullets, and comparison cards.",B-1,Identifiable by Gemini logo plus pricing-plan layout.
B3-09,B-12,Perplexity,B-12,B-12,99,B-14,B-14,B-3,B-3,true,true,semantic_ok,"Visible Perplexity wordmark with search/query cards, cited answer panels, and retrieval workflow.",B-14,Identifiable by logo.
B3-10,B-5,GitHub Copilot,B-5,B-5,99,B-7,B-7,B-4,B-4,true,true,semantic_ok,"Visible GitHub Copilot wordmark with repository/branch timeline, code suggestion, and team coding panels.",B-7,Identifiable by logo.
B3-11,B-8,Codex,B-8,B-8,58,B-7,B-7,B-10,B-10,true,true,weak_but_identifiable,"Dense coding-agent dashboard with code editor, tasks, charts, checks, shield, and robot assistant.",B-7,No logo; likely Codex by broad OpenAI coding-agent/dashboard semantics.
B3-12,B-31,Excalidraw,B-31,B-31,88,B-10,B-10,B-19,B-19,true,true,semantic_ok,"Whiteboard sketching, hand-drawn diagrams, boxes/arrows, sticky notes, and Excalidraw-like purple mark.",B-10,Logo and drawing-board semantics point to Excalidraw.
B3-13,B-14,Genspark,B-14,B-14,84,B-12,B-12,B-3,B-3,true,true,semantic_ok,Search/input-to-generated-dashboard workflow with black sparkle logo and result/report cards.,B-12,Mostly logo-driven; semantically close to answer/search products.
B3-14,B-3,ChatGPT,B-3,B-3,78,B-8,B-8,B-7,B-7,true,true,semantic_ok,"Large OpenAI wordmark with chat interface, assistant card, code/cloud/database integrations.",B-8,"OpenAI logo makes it clear, but ChatGPT vs Codex is somewhat ambiguous visually."
