blind_image_id,top1_guess,top1_confidence,top2_guess,top3_guess,visual_evidence,confused_with,semantic_comment
D-Q001,D-40,95,D-42,D-1,"Meta infinity logo and repeated open-model style network cards make Llama the clearest read.","D-42|D-1","Strong brand evidence; semantic identity is clear."
D-Q002,D-45,82,D-43,D-41,"Black square Z-style logo with model-serving dashboards points to GLM/Zhipu rather than a generic open model.","D-43|D-41","Logo carries most of the identification."
D-Q003,D-2,42,D-1,D-3,"Gemini star plus benchmark panels with scale, timer, and gauge suggest a Gemini 2.5 evaluation/upgrade theme.","D-1|D-3|D-4","Generic Gemini dashboard; exact version is weak."
D-Q004,D-25,35,D-24,D-21,"OpenAI logo with a simple text-to-model transformer pipeline looks like an early GPT family diagram.","D-24|D-21","Communicates OpenAI LLM, not the exact generation."
D-Q005,D-50,80,D-52,D-21,"OpenAI logo with multiple image thumbnails, galleries, and generation panels points to DALL-E.","D-52|D-21","Image-generation semantics are fairly clear."
D-Q006,D-60,70,D-70,D-42,"Search-tree and board-like game diagrams with lab/robot context suggest AlphaGo-style game AI.","D-70|D-42","No logo, but the game-search visual is meaningful."
D-Q007,D-41,94,D-43,D-40,"Mistral logo is prominent above model cards and pipeline diagrams.","D-43|D-40","Strong brand evidence."
D-Q008,D-46,78,D-47,D-43,"DeepSeek logo with broad model/dashboard panels and no strong reasoning-question motif suggests V3.","D-47|D-43","Brand is clear; V3 versus R1 relies on weaker visual cues."
D-Q009,D-52,74,D-50,D-21,"OpenAI logo with storyboard-like image/video thumbnails and timeline strips suggests Sora.","D-50|D-21","Video-generation cue is present, though partly generic."
D-Q010,D-10,48,D-11,D-12,"Claude logo with simpler document, matrix, and evaluation panels suggests the base Claude 3 family.","D-11|D-12","Claude is clear; version is ambiguous."
D-Q011,D-3,38,D-2,D-4,"Gemini star with chained model panels and dashboard outputs suggests a newer Gemini generation.","D-2|D-4|D-1","Very generic Gemini model diagram."
D-Q012,D-11,45,D-10,D-12,"Claude logo with coding, benchmarks, and deployment panels fits Claude 3.5-style capability messaging.","D-10|D-12","Brand clear; exact version weak."
D-Q013,D-44,91,D-43,D-45,"Black Kimi logo appears with model pipeline and assistant panels.","D-43|D-45","Strong logo-based identification."
D-Q014,D-21,42,D-20,D-23,"OpenAI logo with multimodal/code panels feeding a central neural network suggests GPT-4-era general capability.","D-20|D-23|D-24","OpenAI LLM is clear; version is not."
D-Q015,D-53,78,D-56,D-57,"Video frame grids, landscape sequences, and a blue video-model style logo point to Veo.","D-56|D-57","Video model semantics are clear; brand/version moderately clear."
D-Q016,D-58,83,D-55,D-51,"Colored app logo plus funnel/mixing flow from input images to output panels strongly suggests Whisk.","D-55|D-51","The image-mixing workflow communicates the entry well."
