blind_image_id,top1_guess,top1_confidence,top2_guess,top3_guess,visual_evidence,confused_with,semantic_comment
B3-01,B-4,82,B-8,B-7,"Black Cursor-like logo plus IDE/code panels and agent workflow orchestration.",B-8,"Mostly identifiable by logo; semantically overlaps with coding-agent tools."
B3-02,B-7,55,B-8,B-4,"Large coding workspace with AI robot assisting inside development UI and file/code panels.",B-8,"No clear logo, so this is semantically ambiguous among coding assistants."
B3-03,B-1,98,B-52,B-27,"Prominent Gemini multicolor sparkle logo with chat/search/app integrations around a central sparkle assistant.",B-52,"Identifiable by logo."
B3-04,B-2,99,B-19,B-7,"Visible Claude wordmark and orange Claude logo with chat/document/code workflow panels.",B-19,"Identifiable by logo."
B3-05,B-27,92,B-14,B-1,"Google Cloud-style multicolor Vertex mark with data tables, model graph, pipeline, charts, and ML workflow.",B-14,"Logo and ML pipeline visuals strongly suggest Vertex AI."
B3-06,B-19,72,B-2,B-7,"People collaborating through an AI assistant workspace with meeting/team outputs and shared panels.",B-2,"Likely Claude Cowork from coworking/team semantics, but no explicit Claude logo."
B3-07,B-10,62,B-7,B-8,"Autonomous development board showing planning flow, code editor, validation checks, dashboard output, and robot agent.",B-7,"Ambiguous coding-agent scene; autonomy and end-to-end task flow suggest Devin."
B3-08,B-52,86,B-1,B-27,"Gemini logo with tiered pricing-style columns, gauges, feature bullets, and comparison cards.",B-1,"Identifiable by Gemini logo plus pricing-plan layout."
B3-09,B-12,99,B-14,B-3,"Visible Perplexity wordmark with search/query cards, cited answer panels, and retrieval workflow.",B-14,"Identifiable by logo."
B3-10,B-5,99,B-7,B-4,"Visible GitHub Copilot wordmark with repository/branch timeline, code suggestion, and team coding panels.",B-7,"Identifiable by logo."
B3-11,B-8,58,B-7,B-10,"Dense coding-agent dashboard with code editor, tasks, charts, checks, shield, and robot assistant.",B-7,"No logo; likely Codex by broad OpenAI coding-agent/dashboard semantics."
B3-12,B-31,88,B-10,B-19,"Whiteboard sketching, hand-drawn diagrams, boxes/arrows, sticky notes, and Excalidraw-like purple mark.",B-10,"Logo and drawing-board semantics point to Excalidraw."
B3-13,B-14,84,B-12,B-3,"Search/input-to-generated-dashboard workflow with black sparkle logo and result/report cards.",B-12,"Mostly logo-driven; semantically close to answer/search products."
B3-14,B-3,78,B-8,B-7,"Large OpenAI wordmark with chat interface, assistant card, code/cloud/database integrations.",B-8,"OpenAI logo makes it clear, but ChatGPT vs Codex is somewhat ambiguous visually."
