entry_id,title,category,subtype,path,score,band,flags,review_reasons,recommended_action,logo_need,logo_status,official_asset,official_asset_context,known_padding_2to1,central_padding_shape,sparse_diagram,color_status,off_palette_ratio,file_size_kb,part_color,part_luma,part_saturation,part_contrast,part_edge,part_ink,part_aspect,luma,saturation,contrast,edge_density,ink_ratio,bbox_coverage,bbox_width_ratio,bbox_height_ratio,margin_balance
I-1,MCP,mcp,protocol,assets/ponchi/final/I-1.webp,94,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.004369,484.9,96,96,98,84,88,100,100,242.437,0.01810,17.632,0.08811,0.25445,0.41233,0.98958,0.41667,0.98958
I-2,MCP Server,mcp,protocol,assets/ponchi/final/I-2.webp,94,high,,known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.007782,411.5,97,97,99,87,81,99,100,243.201,0.01576,17.083,0.09418,0.24805,0.35938,0.95833,0.37500,1.00000
I-3,MCP Client,mcp,protocol,assets/ponchi/final/I-3.webp,96,high,,known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.008425,439.8,99,100,99,98,79,98,100,244.570,0.01099,14.838,0.09679,0.24544,0.43294,0.98958,0.43750,0.98958
I-4,MCP Transport,mcp,protocol,assets/ponchi/final/I-4.webp,95,high,,known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.008959,425.1,99,99,99,99,93,83,100,244.927,0.01503,14.360,0.08333,0.17611,0.39171,0.98958,0.39583,0.98958
I-5,MCP SDK,mcp,protocol,assets/ponchi/final/I-5.webp,89,high,線密度,線密度;known_padding_2to1,composition_regen_review,not_needed,logo_avoid,,no,yes,no,no,pass,0.000000,40.0,97,97,97,81,68,92,100,243.091,0.01892,18.346,0.10710,0.21777,0.37337,0.96875,0.38542,0.98958
I-10,Filesystem MCP,mcp,reference,assets/ponchi/final/I-10.webp,96,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007902,438.8,100,100,99,98,93,90,100,244.874,0.01507,14.792,0.08322,0.20812,0.43294,0.98958,0.43750,0.98958
I-11,GitHub MCP,mcp,reference,assets/ponchi/final/I-11.webp,93,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,33.9,97,97,96,94,75,95,100,246.031,0.02212,13.328,0.05295,0.23058,0.45356,0.98958,0.45833,0.98958
I-12,Git MCP,mcp,reference,assets/ponchi/final/I-12.webp,93,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007233,455.3,98,97,98,90,76,95,100,246.229,0.00869,12.452,0.05404,0.23166,0.42263,0.98958,0.42708,0.98958
I-13,Slack MCP,mcp,reference,assets/ponchi/final/I-13.webp,96,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.007662,461.6,98,98,100,94,89,96,100,243.614,0.01336,15.613,0.06630,0.27040,0.41233,0.98958,0.41667,0.98958
I-20,Playwright MCP,mcp,dev_automation,assets/ponchi/final/I-20.webp,92,high,,,light_review,not_needed,logo_avoid,,no,no,no,no,pass,0.000000,47.7,96,96,97,84,73,100,100,246.936,0.01885,11.345,0.05089,0.25347,0.43294,0.98958,0.43750,0.98958
