slot,entry_id,title,subtype,image_path,expected_signal
1,J-1,AGI,ai_concept,assets/ponchi/final/J-1.png,general intelligence across tasks
2,J-2,強い AI／弱い AI,ai_concept,assets/ponchi/final/J-2.png,strong vs narrow AI contrast
3,J-3,Singularity,ai_concept,assets/ponchi/final/J-3.png,accelerating capability threshold
4,J-4,ASI,ai_concept,assets/ponchi/final/J-4.png,superintelligence above human level
5,J-10,Machine Learning,ml_basic,assets/ponchi/final/J-10.png,data/training to model prediction
6,J-11,Deep Learning,ml_basic,assets/ponchi/final/J-11.png,many-layer neural learning
7,J-12,Neural Network,ml_basic,assets/ponchi/final/J-12.png,node/edge network structure
8,J-13,Transformer,ml_basic,assets/ponchi/final/J-13.png,attention blocks/sequence model
9,J-14,LLM,ml_basic,assets/ponchi/final/J-14.png,large text model pipeline
10,J-15,VLM,ml_basic,assets/ponchi/final/J-15.png,vision-language image+text model
11,J-16,Fine-tuning,ml_basic,assets/ponchi/final/J-16.png,adapt pretrained model to task
12,J-17,Attention,ml_basic,assets/ponchi/final/J-17.png,focus weights over tokens/features
13,J-18,MoE,ml_basic,assets/ponchi/final/J-18.png,router selects expert modules
14,J-19,量子化,ml_basic,assets/ponchi/final/J-19.png,compress precision/weights
15,J-20,Big Data,data_learning,assets/ponchi/final/J-20.png,large data collection/processing
16,J-21,LoRA,data_learning,assets/ponchi/final/J-21.png,low-rank adapter fine-tuning
17,J-22,パラメータ数の単位,data_learning,assets/ponchi/final/J-22.png,parameter count scale units
